column,base_column,location,category,predictive_safe,target_candidate,leakage_risk,reason,notes
possessionSecondsBefore,possessionSecondsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
possessionSecondsAvgBefore,possessionSecondsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
turnoversBefore,turnoversBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
turnoversAvgBefore,turnoversAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
fumblesLostBefore,fumblesLostBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
fumblesLostAvgBefore,fumblesLostAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
interceptionsBefore,interceptionsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
interceptionsAvgBefore,interceptionsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
sacksBefore,sacksBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
sacksAvgBefore,sacksAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
qbHurriesBefore,qbHurriesBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
qbHurriesAvgBefore,qbHurriesAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
passesDeflectedBefore,passesDeflectedBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
passesDeflectedAvgBefore,passesDeflectedAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
tacklesForLossBefore,tacklesForLossBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
tacklesForLossAvgBefore,tacklesForLossAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
defensiveTDsBefore,defensiveTDsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
defensiveTDsAvgBefore,defensiveTDsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
pointDifferentialBefore,pointDifferentialBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
pointDifferentialAvgBefore,pointDifferentialAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
completionPctBefore,completionPctBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
thirdDownPctBefore,thirdDownPctBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
fourthDownPctBefore,fourthDownPctBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
yardsPerRushAttemptBefore,yardsPerRushAttemptBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
yardsPerPassAttemptBefore,yardsPerPassAttemptBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
winPctBefore,winPctBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
pointsForAvgLast3,pointsForAvgLast3,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
pointsAgainstAvgLast3,pointsAgainstAvgLast3,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
pointDifferentialAvgLast3,pointDifferentialAvgLast3,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
rushingYardsAvgLast3,rushingYardsAvgLast3,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
netPassingYardsAvgLast3,netPassingYardsAvgLast3,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
totalYardsAvgLast3,totalYardsAvgLast3,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
sacksAvgLast3,sacksAvgLast3,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
qbHurriesAvgLast3,qbHurriesAvgLast3,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
passesDeflectedAvgLast3,passesDeflectedAvgLast3,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
tacklesForLossAvgLast3,tacklesForLossAvgLast3,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
turnoversAvgLast3,turnoversAvgLast3,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
pointsForAvgLast5,pointsForAvgLast5,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
pointsAgainstAvgLast5,pointsAgainstAvgLast5,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
pointDifferentialAvgLast5,pointDifferentialAvgLast5,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
rushingYardsAvgLast5,rushingYardsAvgLast5,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
netPassingYardsAvgLast5,netPassingYardsAvgLast5,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
totalYardsAvgLast5,totalYardsAvgLast5,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
sacksAvgLast5,sacksAvgLast5,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
qbHurriesAvgLast5,qbHurriesAvgLast5,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
passesDeflectedAvgLast5,passesDeflectedAvgLast5,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
tacklesForLossAvgLast5,tacklesForLossAvgLast5,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
turnoversAvgLast5,turnoversAvgLast5,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
winPctLast3,winPctLast3,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
winPctLast5,winPctLast5,,rolling_pregame,True,False,low,Historical rolling statistic calculated from previous games,
isHome,isHome,,static_pregame,True,False,low,Known before kickoff and does not depend on the current-game outcome,
isAway,isAway,,static_pregame,True,False,low,Known before kickoff and does not depend on the current-game outcome,
homeGamesBefore,homeGamesBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeWinsBefore,homeWinsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeWinPctBefore,homeWinPctBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePointsForBefore,homePointsForBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePointsForAvgBefore,homePointsForAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePointsAgainstBefore,homePointsAgainstBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePointsAgainstAvgBefore,homePointsAgainstAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeRushingYardsBefore,homeRushingYardsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeRushingYardsAvgBefore,homeRushingYardsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeRushingAttemptsBefore,homeRushingAttemptsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeRushingAttemptsAvgBefore,homeRushingAttemptsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeNetPassingYardsBefore,homeNetPassingYardsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeNetPassingYardsAvgBefore,homeNetPassingYardsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePassAttemptsBefore,homePassAttemptsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePassAttemptsAvgBefore,homePassAttemptsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeCompletionsBefore,homeCompletionsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeCompletionsAvgBefore,homeCompletionsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeTotalYardsBefore,homeTotalYardsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeTotalYardsAvgBefore,homeTotalYardsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeFirstDownsBefore,homeFirstDownsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeFirstDownsAvgBefore,homeFirstDownsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeRushingTDsBefore,homeRushingTDsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeRushingTDsAvgBefore,homeRushingTDsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePassingTDsBefore,homePassingTDsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePassingTDsAvgBefore,homePassingTDsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeThirdDownConversionsBefore,homeThirdDownConversionsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeThirdDownConversionsAvgBefore,homeThirdDownConversionsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeThirdDownAttemptsBefore,homeThirdDownAttemptsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeThirdDownAttemptsAvgBefore,homeThirdDownAttemptsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeFourthDownConversionsBefore,homeFourthDownConversionsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeFourthDownConversionsAvgBefore,homeFourthDownConversionsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeFourthDownAttemptsBefore,homeFourthDownAttemptsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeFourthDownAttemptsAvgBefore,homeFourthDownAttemptsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePenaltiesBefore,homePenaltiesBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePenaltiesAvgBefore,homePenaltiesAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePenaltyYardsBefore,homePenaltyYardsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePenaltyYardsAvgBefore,homePenaltyYardsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePossessionSecondsBefore,homePossessionSecondsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePossessionSecondsAvgBefore,homePossessionSecondsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeTurnoversBefore,homeTurnoversBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeTurnoversAvgBefore,homeTurnoversAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeFumblesLostBefore,homeFumblesLostBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeFumblesLostAvgBefore,homeFumblesLostAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeInterceptionsBefore,homeInterceptionsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeInterceptionsAvgBefore,homeInterceptionsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeSacksBefore,homeSacksBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeSacksAvgBefore,homeSacksAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeQbHurriesBefore,homeQbHurriesBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeQbHurriesAvgBefore,homeQbHurriesAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePassesDeflectedBefore,homePassesDeflectedBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePassesDeflectedAvgBefore,homePassesDeflectedAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeTacklesForLossBefore,homeTacklesForLossBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeTacklesForLossAvgBefore,homeTacklesForLossAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeDefensiveTDsBefore,homeDefensiveTDsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeDefensiveTDsAvgBefore,homeDefensiveTDsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePointDifferentialBefore,homePointDifferentialBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homePointDifferentialAvgBefore,homePointDifferentialAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeCompletionPctBefore,homeCompletionPctBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeThirdDownPctBefore,homeThirdDownPctBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeFourthDownPctBefore,homeFourthDownPctBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeYardsPerRushAttemptBefore,homeYardsPerRushAttemptBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
homeYardsPerPassAttemptBefore,homeYardsPerPassAttemptBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayGamesBefore,awayGamesBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayWinsBefore,awayWinsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayWinPctBefore,awayWinPctBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPointsForBefore,awayPointsForBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPointsForAvgBefore,awayPointsForAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPointsAgainstBefore,awayPointsAgainstBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPointsAgainstAvgBefore,awayPointsAgainstAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayRushingYardsBefore,awayRushingYardsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayRushingYardsAvgBefore,awayRushingYardsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayRushingAttemptsBefore,awayRushingAttemptsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayRushingAttemptsAvgBefore,awayRushingAttemptsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayNetPassingYardsBefore,awayNetPassingYardsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayNetPassingYardsAvgBefore,awayNetPassingYardsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPassAttemptsBefore,awayPassAttemptsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPassAttemptsAvgBefore,awayPassAttemptsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayCompletionsBefore,awayCompletionsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayCompletionsAvgBefore,awayCompletionsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayTotalYardsBefore,awayTotalYardsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayTotalYardsAvgBefore,awayTotalYardsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayFirstDownsBefore,awayFirstDownsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayFirstDownsAvgBefore,awayFirstDownsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayRushingTDsBefore,awayRushingTDsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayRushingTDsAvgBefore,awayRushingTDsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPassingTDsBefore,awayPassingTDsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPassingTDsAvgBefore,awayPassingTDsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayThirdDownConversionsBefore,awayThirdDownConversionsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayThirdDownConversionsAvgBefore,awayThirdDownConversionsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayThirdDownAttemptsBefore,awayThirdDownAttemptsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayThirdDownAttemptsAvgBefore,awayThirdDownAttemptsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayFourthDownConversionsBefore,awayFourthDownConversionsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayFourthDownConversionsAvgBefore,awayFourthDownConversionsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayFourthDownAttemptsBefore,awayFourthDownAttemptsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayFourthDownAttemptsAvgBefore,awayFourthDownAttemptsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPenaltiesBefore,awayPenaltiesBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPenaltiesAvgBefore,awayPenaltiesAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPenaltyYardsBefore,awayPenaltyYardsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPenaltyYardsAvgBefore,awayPenaltyYardsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPossessionSecondsBefore,awayPossessionSecondsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayPossessionSecondsAvgBefore,awayPossessionSecondsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayTurnoversBefore,awayTurnoversBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayTurnoversAvgBefore,awayTurnoversAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayFumblesLostBefore,awayFumblesLostBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayFumblesLostAvgBefore,awayFumblesLostAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayInterceptionsBefore,awayInterceptionsBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayInterceptionsAvgBefore,awayInterceptionsAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awaySacksBefore,awaySacksBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awaySacksAvgBefore,awaySacksAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayQbHurriesBefore,awayQbHurriesBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
awayQbHurriesAvgBefore,awayQbHurriesAvgBefore,,pregame,True,False,low,Historical statistic explicitly calculated before the current game,
